Date,"Eleanor Schonell Bridge, St Lucia Cyclist","Eleanor Schonell Bridge, St Lucia Pedestrian","Jack Pesch Bridge, Indooroopilly Pedestrian","Jack Pesch Bridge, Indooroopilly Cyclist"
"Sat, 16 07 22",694.85,915,691,561
"Sun, 17 07 22",843.7,972,727,640
"Mon, 18 07 22",1088.1,1425,525,393
"Tue, 19 07 22",1139.45,1596,612,451
"Wed, 20 07 22",1014,1302,550,418
"Thu, 21 07 22",609.7,1077,316,174
"Fri, 22 07 22",371.8,839,137,88
"Sat, 23 07 22",570.05,939,755,594
"Sun, 24 07 22",1011.4,1068,938,846
"Mon, 25 07 22",1270.1,1938,543,408
"Tue, 26 07 22",1418.95,1883,605,506
"Wed, 27 07 22",1342.9,1968,642,540
"Thu, 28 07 22",1251.9,1821,636,537
"Fri, 29 07 22",1136.85,1662,622,551
"Sat, 30 07 22",692.9,944,677,591
"Sun, 31 07 22",739.7,863,593,627
"Mon, 01 08 22",1038.7,1948,448,251
"Tue, 02 08 22",1417.65,2230,722,500
"Wed, 03 08 22",1539.2,2197,690,582
"Thu, 04 08 22",1415.7,2249,760,497
"Fri, 05 08 22",1344.85,1798,693,626
"Sat, 06 08 22",527.15,1018,411,306
"Sun, 07 08 22",999.05,2084,779,748
"Mon, 08 08 22",1301.3,1946,603,385
"Tue, 09 08 22",1396.85,2044,626,443
"Wed, 10 08 22",960.05,1246,804,763
"Thu, 11 08 22",1418.95,2313,606,455
"Fri, 12 08 22",1243.45,1757,747,526
"Sat, 13 08 22",293.15,691,329,159
"Sun, 14 08 22",900.9,1317,825,684
"Mon, 15 08 22",1360.45,2054,574,401
"Tue, 16 08 22",1565.2,2172,711,510
"Wed, 17 08 22",1582.1,2071,743,559
"Thu, 18 08 22",1491.1,2138,711,490
"Fri, 19 08 22",1368.25,1947,728,581
"Sat, 20 08 22",823.55,1072,698,575
"Sun, 21 08 22",900.25,1113,784,717
"Mon, 22 08 22",451.5,3389,549,420
"Tue, 23 08 22",366,3548,736,565
"Wed, 24 08 22",242,3381,564,434
"Thu, 25 08 22",234,3796,713,472
"Fri, 26 08 22",249,3241,769,571
"Sat, 27 08 22",204.5,1612,671,578
"Sun, 28 08 22",231.5,1927,397,686
"Mon, 29 08 22",196,2995,497,326
"Tue, 30 08 22",217.5,3255,556,413
"Wed, 31 08 22",142.5,3062,427,274
"Thu, 01 09 22",196.5,3932,776,495
"Fri, 02 09 22",172.5,2894,543,479
"Sat, 03 09 22",55.5,1062,280,104
"Sun, 04 09 22",217.5,1830,766,639
"Mon, 05 09 22",192,3248,508,397
"Tue, 06 09 22",230,3679,744,612
"Wed, 07 09 22",243,3893,691,521
"Thu, 08 09 22",171,3803,704,497
"Fri, 09 09 22",60,2129,310,143
"Sat, 10 09 22",185,2049,652,610
"Sun, 11 09 22",198,2105,712,742
"Mon, 12 09 22",180.5,3383,549,409
"Tue, 13 09 22",227.5,4139,718,588
